Date,Low,Open,Volume,High,Close,Adjusted Close
23-08-2021,485.0,485.0,22080190,550.0,531.7000122070312,531.7000122070312
24-08-2021,507.1499938964844,532.0,5703185,564.9500122070312,520.5499877929688,520.5499877929688
25-08-2021,521.0999755859375,522.0499877929688,1295995,535.0,532.6500244140625,532.6500244140625
26-08-2021,522.4000244140625,532.9000244140625,1535636,538.7999877929688,528.5499877929688,528.5499877929688
27-08-2021,520.2000122070312,525.0,980070,538.0,535.9000244140625,535.9000244140625
30-08-2021,529.2000122070312,542.0,1890032,565.0,542.7999877929688,542.7999877929688
31-08-2021,539.5999755859375,550.0,931453,559.7999877929688,556.1500244140625,556.1500244140625
01-09-2021,555.9500122070312,560.0,1565064,571.9000244140625,562.2000122070312,562.2000122070312
02-09-2021,555.9500122070312,563.5,826114,570.0,564.3499755859375,564.3499755859375
03-09-2021,555.0,564.3499755859375,481989,567.25,560.8499755859375,560.8499755859375
06-09-2021,560.2000122070312,562.0,1038320,577.9000244140625,567.4000244140625,567.4000244140625
07-09-2021,556.2999877929688,574.0,1016848,577.0,560.4000244140625,560.4000244140625
08-09-2021,552.0,563.5,331856,563.9000244140625,553.4000244140625,553.4000244140625
09-09-2021,542.0999755859375,553.0,494998,553.0999755859375,546.75,546.75
13-09-2021,542.0,545.0,223610,551.5,544.7999877929688,544.7999877929688
14-09-2021,542.5499877929688,542.5499877929688,482527,555.5,552.0499877929688,552.0499877929688
15-09-2021,550.0499877929688,555.0,595194,557.9000244140625,554.5499877929688,554.5499877929688
16-09-2021,548.7000122070312,552.0,1565279,569.4000244140625,557.0499877929688,557.0499877929688
17-09-2021,537.5,558.0,817009,562.0499877929688,538.5999755859375,538.5999755859375
20-09-2021,535.25,536.0,440764,543.9500122070312,539.7000122070312,539.7000122070312
21-09-2021,532.0,540.0,419127,544.8499755859375,536.2999877929688,536.2999877929688
22-09-2021,536.0999755859375,536.2999877929688,835616,552.5,545.0,545.0
23-09-2021,549.0,554.75,368460,554.75,552.0,552.0
24-09-2021,551.9500122070312,552.5999755859375,402319,562.0,553.4500122070312,553.4500122070312
27-09-2021,550.9000244140625,560.0,354994,562.4000244140625,552.3499755859375,552.3499755859375
28-09-2021,540.0499877929688,559.75,449949,559.75,547.7000122070312,547.7000122070312
29-09-2021,542.2999877929688,545.0499877929688,337031,547.9000244140625,545.1500244140625,545.1500244140625
30-09-2021,538.6500244140625,543.5,193616,546.0,543.5,543.5
01-10-2021,540.5,543.5,246944,548.0,545.75,545.75
04-10-2021,548.0,548.0999755859375,153098,552.5,551.1500244140625,551.1500244140625
05-10-2021,547.0,550.0,233997,560.0,554.4000244140625,554.4000244140625
06-10-2021,551.0,555.0,483458,559.7999877929688,555.75,555.75
07-10-2021,542.3499755859375,560.0,1571412,561.0,549.4000244140625,549.4000244140625
08-10-2021,545.0499877929688,550.0,122795,554.4000244140625,547.75,547.75
11-10-2021,541.5,544.0999755859375,306492,558.0,544.9500122070312,544.9500122070312
12-10-2021,535.3499755859375,542.0999755859375,177574,548.3499755859375,536.4000244140625,536.4000244140625
13-10-2021,526.9500122070312,539.7000122070312,381592,539.7000122070312,534.5,534.5
14-10-2021,527.1500244140625,531.0999755859375,437661,549.5999755859375,528.9000244140625,528.9000244140625
18-10-2021,525.2999877929688,534.7000122070312,372884,534.7000122070312,530.0,530.0
19-10-2021,524.2000122070312,530.0,257763,531.7000122070312,525.9500122070312,525.9500122070312
20-10-2021,504.20001220703125,525.0,793648,526.5999755859375,520.3499755859375,520.3499755859375
21-10-2021,515.0499877929688,519.5499877929688,161518,525.2000122070312,519.7000122070312,519.7000122070312
22-10-2021,506.0,522.4500122070312,147126,522.5,508.54998779296875,508.54998779296875
25-10-2021,495.6000061035156,510.0,160200,514.8499755859375,497.95001220703125,497.95001220703125
26-10-2021,496.04998779296875,496.04998779296875,476872,541.2999877929688,524.9500122070312,524.9500122070312
27-10-2021,514.8499755859375,524.9500122070312,187396,526.0,516.0999755859375,516.0999755859375
28-10-2021,511.25,511.25,158562,524.3499755859375,515.75,515.75
29-10-2021,512.0,514.0499877929688,260162,534.0,527.8499755859375,527.8499755859375
